deliverable_id|team_id
1|1
2|2
793|3
873|4
873|5
873|6
873|7
873|8
873|9
873|10
687|11
6|12
7|13
8|10
9|14
9|13
874|14
874|8
874|15
874|13
874|16
874|17
875|18
875|13
876|4
13|4
14|5
15|4
15|9
472|4
472|8
472|9
17|4
17|9
877|5
474|4
474|9
475|4
475|8
475|9
476|5
878|5
21|4
22|4
879|5
24|5
25|9
26|5
880|5
880|7
881|5
28|5
29|19
30|20
882|6
882|21
882|22
691|8
691|18
883|14
883|8
883|13
883|23
883|16
883|17
33|10
481|14
481|24
481|17
796|21
884|14
884|8
884|13
884|16
884|17
885|13
35|8
35|25
35|26
886|27
37|28
38|27
39|19
484|12
484|8
484|19
887|29
798|30
798|8
43|28
44|28
602|6
602|8
602|31
888|18
888|13
888|32
47|6
889|14
889|17
889|32
890|14
890|17
890|32
50|11
51|33
891|14
891|8
891|25
891|16
891|17
891|32
53|6
892|26
893|8
893|10
894|11
894|34
894|4
894|5
894|14
894|6
894|21
894|35
894|36
894|37
894|30
894|20
894|38
894|3
894|39
894|40
894|2
894|41
894|12
894|29
894|42
894|1
894|43
894|9
894|31
894|22
894|19
894|27
894|15
894|25
894|26
894|13
894|23
894|16
894|44
894|33
894|17
894|32
894|45
57|26
698|46
698|24
698|8
895|11
895|8
895|9
895|26
60|37
60|47
896|48
896|49
896|50
896|9
896|10
896|51
896|52
896|53
492|53
493|53
897|48
897|50
897|53
898|48
898|50
898|8
898|10
898|52
898|53
899|48
899|50
899|53
608|48
608|50
608|8
608|52
900|48
900|50
900|53
609|48
609|50
609|8
609|52
901|48
901|50
901|53
610|14
610|48
610|50
610|8
610|10
610|51
610|52
902|48
902|50
902|51
902|52
902|53
495|50
495|53
72|48
72|50
72|51
72|52
903|48
903|50
903|53
74|48
74|51
74|52
611|50
611|51
611|52
904|48
904|50
904|51
904|52
905|48
905|50
905|51
78|48
78|50
78|10
78|51
78|53
906|48
906|50
906|53
80|50
80|51
80|52
907|48
907|49
907|50
907|53
498|50
498|52
498|44
613|48
613|50
613|51
908|48
908|50
908|10
908|51
909|50
909|52
86|6
500|54
910|4
910|5
910|14
910|6
910|21
910|49
910|7
910|8
910|22
910|28
700|32
700|45
89|33
911|8
911|10
911|17
91|36
912|5
92|27
93|27
616|37
616|2
616|12
616|8
96|12
913|26
98|3
914|14
914|8
914|18
914|23
914|16
914|17
99|11
99|14
99|20
99|1
100|2
101|6
102|14
102|37
102|40
102|47
915|14
915|8
915|23
915|16
915|17
916|14
916|8
916|23
916|16
916|17
619|14
619|8
619|15
619|13
619|16
619|17
106|14
106|8
106|15
106|23
107|14
107|8
107|15
107|13
107|23
917|14
917|8
917|15
917|17
706|45
109|6
707|19
111|35
111|43
112|2
113|2
918|40
918|46
918|24
918|8
115|10
807|43
117|17
919|29
920|29
808|45
921|21
921|31
120|6
710|14
122|14
122|20
122|13
122|44
711|18
711|23
711|16
922|14
922|8
922|23
922|16
922|17
923|14
923|23
923|16
923|17
125|20
924|14
924|6
924|2
924|12
924|8
924|9
924|19
924|26
127|43
128|19
811|43
925|36
926|5
926|6
926|22
927|13
927|23
927|17
133|42
134|29
134|42
135|42
928|29
928|42
137|36
138|36
929|41
929|19
512|11
512|34
512|37
512|1
512|9
141|33
142|27
930|6
930|31
930|28
931|8
931|9
931|32
932|39
932|17
814|45
933|11
933|34
933|14
933|49
146|18
934|45
516|11
516|14
516|37
516|8
516|33
516|17
148|5
148|7
517|42
935|6
935|8
935|31
936|28
627|10
153|3
154|18
937|36
937|39
937|43
937|17
156|15
156|25
157|6
938|14
938|16
938|44
158|32
939|10
159|18
160|14
160|23
160|16
940|21
940|8
940|31
941|8
941|32
942|8
942|32
720|18
164|14
164|24
164|8
164|9
165|2
943|14
943|37
943|20
943|8
943|9
943|15
943|17
943|32
943|45
722|26
723|2
723|47
169|28
944|11
944|14
944|7
944|8
944|32
944|45
171|6
945|3
945|41
173|6
174|6
175|6
946|21
946|31
176|14
176|40
176|46
176|12
176|24
176|8
177|23
177|44
947|29
948|3
949|35
822|45
182|37
525|21
525|12
525|8
525|9
525|15
184|42
724|29
724|42
527|42
187|27
188|9
950|20
950|40
951|37
951|20
951|39
951|8
951|44
951|17
191|32
192|33
632|30
632|8
632|32
823|43
195|12
952|11
953|24
953|17
633|21
824|30
824|18
824|33
825|30
954|3
954|41
727|19
955|42
956|28
957|6
957|30
957|20
957|8
957|9
828|30
828|9
958|14
958|24
958|8
958|17
637|21
829|32
638|6
206|6
